ctg000030	0	185000	Mockvalues	1
ctg000040	0	215000	Mockvalues	2
ctg000090	0	225000	Mockvalues	7
ctg000140	0	365000	Mockvalues	5
ctg000160	0	55000	Mockvalues	1
ctg000170	0	135000	Mockvalues	9
ctg000190	0	28032886  Mockvalues	00000
ctg000210	0	105000	Mockvalues	1
ctg000220	0	65000	Mockvalues	4
ctg000230	0	265000	Mockvalues	9
ctg000240	0	155000	Mockvalues	3
ctg000270	0	145000	Mockvalues	1
ctg000280	0	135000	Mockvalues	1
ctg000300	0	13025000	Mockvalues	3
ctg000320	0	115000	Mockvalues	3
ctg000330	0	33685207  Mockvalues	00000
ctg000340	0	65000	Mockvalues	1
ctg000350	0	235000	Mockvalues	7
ctg000360	0	185000	Mockvalues	1
ctg000370	0	135000	Mockvalues	4
ctg000410	0	205000	Mockvalues	12
ctg000440	0	105000	Mockvalues	4
ctg000480	0	29752599  Mockvalues	00000
ctg000520	0	125000	Mockvalues	4
ctg000560	0	125000	Mockvalues	5
ctg000600	0	145000	Mockvalues	8
ctg000610	0	95000	Mockvalues	1
ctg000620	0	95000	Mockvalues	2
ctg000630	0	55000	Mockvalues	3
ctg000650	0	115000	Mockvalues	3
ctg000660	0	75236  Mockvalues	00000
ctg000670	0	115000	Mockvalues	2
ctg000690	0	65000	Mockvalues	1
ctg000710	0	135000	Mockvalues	1
ctg000720	0	155000	Mockvalues	5
ctg000760	0	145000	Mockvalues	5
ctg000780	0	215000	Mockvalues	3
ctg000800	0	165000	Mockvalues	4
ctg000810	0	105000	Mockvalues	5
ctg000820	0	85000	Mockvalues	1
ctg000830	0	115000	Mockvalues	5
ctg000840	0	205000	Mockvalues	8
ctg000850	0	65000	Mockvalues	1
ctg000870	0	25000	Mockvalues	1
ctg000880	0	115000	Mockvalues	2
ctg000890	0	85022  Mockvalues	00000
ctg000900	0	145000	Mockvalues	6
ctg000910	0	125000	Mockvalues	5
ctg000920	0	325000	Mockvalues	1
ctg000930	0	135000	Mockvalues	2
ctg000960	0	235000	Mockvalues	8
ctg000970	0	85000	Mockvalues	1
ctg001030	0	105000	Mockvalues	2
ctg001070	0	115000	Mockvalues	4
